Distance (Km),Longitude,Latitude,HiRISE DTM Stamps (mean)
0.405,114.003,-56.626,2600.897
0.42,114.003,-56.626,2608.329
0.434,114.003,-56.626,2612.477
0.449,114.003,-56.627,2612.477
0.463,114.003,-56.627,2616.863
0.478,114.003,-56.627,2619.521
0.492,114.003,-56.627,2621.786
0.506,114.003,-56.628,2619.093
0.521,114.003,-56.628,2615.546
0.535,114.003,-56.628,2612.441
0.55,114.003,-56.628,2608.149
0.564,114.003,-56.629,2609.977
0.579,114.003,-56.629,2606.707
0.593,114.003,-56.629,2604.52
0.608,114.003,-56.629,2602.694
0.622,114.003,-56.629,2598.14
0.637,114.003,-56.63,2593.572
0.651,114.003,-56.63,2587.744
0.666,114.004,-56.63,2593.535
0.68,114.004,-56.63,2591.093
0.695,114.004,-56.631,2585.667
0.709,114.004,-56.631,2579.657
0.724,114.004,-56.631,2574.43
0.738,114.004,-56.631,2567.82
0.752,114.004,-56.632,2567.82
0.767,114.004,-56.632,2561.598
0.781,114.004,-56.632,2555.513
0.796,114.004,-56.632,2554.551
0.81,114.004,-56.633,2543.606
0.825,114.004,-56.633,2538.078
0.839,114.004,-56.633,2533.386
0.854,114.004,-56.633,2528.051
0.868,114.004,-56.634,2520.909
0.883,114.004,-56.634,2515.189
0.897,114.004,-56.634,2515.189
0.912,114.004,-56.634,2510.876
0.926,114.004,-56.635,2506.003
0.941,114.004,-56.635,2501.234
0.955,114.004,-56.635,2498.927
0.97,114.004,-56.635,2498.927
0.984,114.004,-56.636,2501.906
0.998,114.005,-56.636,2506.329
1.013,114.005,-56.636,2510.769
1.027,114.005,-56.636,2514.318
1.042,114.005,-56.637,2517.792
1.056,114.005,-56.637,2515.189
1.071,114.005,-56.637,2518.746
1.085,114.005,-56.637,2519.394
1.1,114.005,-56.638,2523.226
1.114,114.005,-56.638,2519.319
1.129,114.005,-56.638,2515.168
1.143,114.005,-56.638,2509.867
1.158,114.005,-56.638,2502.72
1.172,114.005,-56.639,2499.007
1.187,114.005,-56.639,2488.577
1.201,114.005,-56.639,2483.205
1.216,114.005,-56.639,2483.205
1.23,114.005,-56.64,2477.124
1.245,114.005,-56.64,2471.393
1.259,114.005,-56.64,2466.157
1.273,114.005,-56.64,2466.157
1.288,114.005,-56.641,2462.633
1.302,114.005,-56.641,2462.633
1.317,114.005,-56.641,2468.443
1.331,114.006,-56.641,2467.103
1.346,114.006,-56.642,2467.103
1.36,114.006,-56.642,2465.214
1.375,114.006,-56.642,2461.975
1.389,114.006,-56.642,2461.45
1.404,114.006,-56.643,2457.462
1.418,114.006,-56.643,2455.004
1.433,114.006,-56.643,2453.105
1.447,114.006,-56.643,2451.338
1.462,114.006,-56.644,2453.013
1.476,114.006,-56.644,2456.55
1.491,114.006,-56.644,2458.592
1.505,114.006,-56.644,2462.86
1.519,114.006,-56.645,2462.484
1.534,114.006,-56.645,2465.982
1.548,114.006,-56.645,2465.982
1.563,114.006,-56.645,2468.99
1.577,114.006,-56.646,2467.645
1.592,114.006,-56.646,2464.268
1.606,114.006,-56.646,2459.882
1.621,114.006,-56.646,2455.709
1.635,114.006,-56.647,2452.329
1.65,114.006,-56.647,2449.992
1.664,114.007,-56.647,2449.992
1.679,114.007,-56.647,2449.023
1.693,114.007,-56.648,2449.01
1.708,114.007,-56.648,2450.373
1.722,114.007,-56.648,2452.193
1.737,114.007,-56.648,2455.381
1.751,114.007,-56.648,2455.517
1.765,114.007,-56.649,2452.745
1.78,114.007,-56.649,2449.725
1.794,114.007,-56.649,2445.448
1.809,114.007,-56.649,2441.335
1.823,114.007,-56.65,2441.335
1.838,114.007,-56.65,2438.079
1.852,114.007,-56.65,2435.386
1.867,114.007,-56.65,2434.089
1.881,114.007,-56.651,2432.979
1.896,114.007,-56.651,2431.937
1.91,114.007,-56.651,2429.144
1.925,114.007,-56.651,2427.165
1.939,114.007,-56.652,2426.649
1.954,114.007,-56.652,2428.488
1.968,114.007,-56.652,2428.488
1.983,114.007,-56.652,2429.038
1.997,114.008,-56.653,2427.612
2.011,114.008,-56.653,2424.181
2.026,114.008,-56.653,2422.544
2.04,114.008,-56.653,2419.939
2.055,114.008,-56.654,2420.999
2.069,114.008,-56.654,2425.072
2.084,114.008,-56.654,2425.986
2.098,114.008,-56.654,2423.176
2.113,114.008,-56.655,2422.344
2.127,114.008,-56.655,2421.704
2.142,114.008,-56.655,2422.06
2.156,114.008,-56.655,2421.168
2.171,114.008,-56.656,2420.362
2.185,114.008,-56.656,2421.045
2.2,114.008,-56.656,2421.552
2.214,114.008,-56.656,2420.239
2.229,114.008,-56.657,2422.632
2.243,114.008,-56.657,2423.912
2.257,114.008,-56.657,2423.912
2.272,114.008,-56.657,2424.038
2.286,114.008,-56.658,2424.893
2.301,114.008,-56.658,2425.493
2.315,114.008,-56.658,2423.822
2.33,114.009,-56.658,2420.153
2.344,114.009,-56.658,2415.852
2.359,114.009,-56.659,2411.947
2.373,114.009,-56.659,2408.418
2.388,114.009,-56.659,2405.343
2.402,114.009,-56.659,2402.921
2.417,114.009,-56.66,2401.05
2.431,114.009,-56.66,2401.05
2.446,114.009,-56.66,2397.651
2.46,114.009,-56.66,2396.82
2.475,114.009,-56.661,2403.927
2.489,114.009,-56.661,2401.561
2.503,114.009,-56.661,2404.147
2.518,114.009,-56.661,2410.825
2.532,114.009,-56.662,2409.454
2.547,114.009,-56.662,2411.332
2.561,114.009,-56.662,2413.107
2.576,114.009,-56.662,2415.039
2.59,114.009,-56.663,2418.517
2.605,114.009,-56.663,2419.478
2.619,114.009,-56.663,2421.476
2.634,114.009,-56.663,2423.167
2.648,114.009,-56.664,2425.047
2.663,114.01,-56.664,2425.087
2.677,114.01,-56.664,2426
2.692,114.01,-56.664,2427.351
2.706,114.01,-56.665,2426.983
2.721,114.01,-56.665,2426.447
2.735,114.01,-56.665,2424.4
2.749,114.01,-56.665,2422.097
2.764,114.01,-56.666,2420.759
2.778,114.01,-56.666,2418.251
2.793,114.01,-56.666,2416.155
2.807,114.01,-56.666,2415.383
2.822,114.01,-56.667,2413.049
2.836,114.01,-56.667,2410.247
2.851,114.01,-56.667,2410.247
2.865,114.01,-56.667,2408.35
2.88,114.01,-56.667,2408.014
2.894,114.01,-56.668,2407.044
2.909,114.01,-56.668,2407.044
2.923,114.01,-56.668,2406.709
2.938,114.01,-56.668,2404.762
2.952,114.01,-56.669,2403.813
2.967,114.01,-56.669,2402.736
2.981,114.01,-56.669,2401.006
2.995,114.01,-56.669,2399.05
3.01,114.011,-56.67,2396.504
3.024,114.011,-56.67,2394.491
3.039,114.011,-56.67,2392.998
3.053,114.011,-56.67,2391.965
3.068,114.011,-56.671,2390.449
3.082,114.011,-56.671,2388.847
3.097,114.011,-56.671,2387.046
3.111,114.011,-56.671,2385.593
3.126,114.011,-56.672,2383.035
0,114,-56.619,2706.113
0.014,114,-56.619,2704.017
0.029,114,-56.62,2702.571
0.043,114,-56.62,2702.571
0.058,114,-56.62,2698.5
0.072,114,-56.62,2696.885
0.087,114,-56.621,2695.54
0.101,114,-56.621,2693.804
0.116,114,-56.621,2692.262
0.13,114,-56.621,2692.262
0.145,114,-56.622,2691.234
0.159,114,-56.622,2689.419
0.174,114.001,-56.622,2687.692
0.188,114.001,-56.622,2686.228
0.203,114.001,-56.623,2686.228
0.217,114.001,-56.623,2665.199
0.232,114.001,-56.623,2647.172
0.246,114.001,-56.623,2630.705
0.26,114.001,-56.624,2614.216
0.275,114.001,-56.624,2614.216
0.289,114.001,-56.624,2597.669
0.304,114.001,-56.624,2584.887
0.318,114.001,-56.625,2583.705
0.333,114.001,-56.625,2580.682
0.347,114.001,-56.625,2582.22
0.362,114.001,-56.625,2587.075
0.376,114.001,-56.626,2592.314
0.391,114.001,-56.626,2599.334
0.405,114.001,-56.626,2604.12
0.42,114.001,-56.626,2610.122
0.434,114.001,-56.626,2609.501
0.449,114.001,-56.627,2611.685
0.463,114.001,-56.627,2613.448
0.478,114.001,-56.627,2615.663
0.492,114.001,-56.627,2614.777
0.506,114.002,-56.628,2612.178
0.521,114.002,-56.628,2606.476
0.535,114.002,-56.628,2602.64
0.55,114.002,-56.628,2598.844
0.564,114.002,-56.629,2595.861
0.579,114.002,-56.629,2595.861
0.593,114.002,-56.629,2597.898
0.608,114.002,-56.629,2594.269
0.622,114.002,-56.63,2589.801
0.637,114.002,-56.63,2587.23
0.651,114.002,-56.63,2586.968
0.666,114.002,-56.63,2587.803
0.68,114.002,-56.631,2586.037
0.695,114.002,-56.631,2580.156
0.709,114.002,-56.631,2573.51
0.724,114.002,-56.631,2567.527
0.738,114.002,-56.632,2567.527
0.752,114.002,-56.632,2561.843
0.767,114.002,-56.632,2556.074
0.781,114.002,-56.632,2550.647
0.796,114.002,-56.633,2544.061
0.81,114.002,-56.633,2537.739
0.825,114.002,-56.633,2533.767
0.839,114.003,-56.633,2533.767
0.854,114.003,-56.634,2525.014
0.868,114.003,-56.634,2520.385
0.883,114.003,-56.634,2520.385
0.897,114.003,-56.634,2515.479
0.912,114.003,-56.635,2510.057
0.926,114.003,-56.635,2504
0.941,114.003,-56.635,2498.726
0.955,114.003,-56.635,2494.411
0.97,114.003,-56.636,2491.417
0.984,114.003,-56.636,2492.58
0.998,114.003,-56.636,2500.537
1.013,114.003,-56.636,2502.347
1.027,114.003,-56.636,2505.978
1.042,114.003,-56.637,2505.978
1.056,114.003,-56.637,2508.122
1.071,114.003,-56.637,2509.959
